blank,sample
SBK1,SB05_1
SBK1,SB05_2
SBK1,SB06_1
SBK1,SB06_2
SBK1,SB07_1
SBK1,SB07_2
SBK1,SB08_1
SBK1,SB08_2
SBK1,SB09_1
SBK1,SB09_2
SBK1,SB10_1
SBK1,SB10_2
SBK1,SB12_1
SBK1,SB12_2
SBK1,SB14_1
SBK1,SB14_2
SBK1,SB15_1
SBK1,SB15_2
SBK1,SB16_1
SBK1,SB16_2
SBK1,SB17_1
SBK1,SB17_2
SBK1,SC01_1
SBK1,SC01_2
SBK1,SC02_1
SBK1,SC02_2
SBK1,SC03_1
SBK1,SC03_2
SBK1,SC04_1
SBK1,SC04_2
SBK1,SC05_1
SBK1,SC05_2
SBK1,SC06_1
SBK1,SC06_2
SBK1,SC07_1
SBK1,SC07_2
SBK1,SC08_1
SBK1,SC08_2
SBK1,SC09_1
SBK1,SC09_2
SBK1,SC10_1
SBK1,SC10_2
SBK1,SC11_1
SBK1,SC11_2
SBK1,SC12_1
SBK1,SC12_2
SBK1,SC13_1
SBK1,SC13_2
SBK1,SC14_1
SBK1,SC14_2
SBK1,SC15_1
SBK1,SC15_2
SBK1,SF01_1
SBK1,SF01_2
SBK1,SF02_1
SBK1,SF02_2
SBK1,SF03_1
SBK1,SF03_2
SBK1,SF04_1
SBK1,SF04_2
SBK1,SF05_1
SBK1,SF05_2
SBK1,SF06_1
SBK1,SF06_2
SBK1,SF07_1
SBK1,SF07_2
SBK1,SF08_1
SBK1,SF08_2
SBK1,SF09_1
SBK1,SF09_2
SBK1,SF10_1
SBK1,SF10_2
SBK1,SF11_1
SBK1,SF11_2
SBK1,SF12_1
SBK1,SF12_2
SBK1,SG01_1
SBK1,SG01_2
SBK1,SG02_1
SBK1,SG02_2
SBK1,SG03_1
SBK1,SG03_2
SBK1,SG04_1
SBK1,SG04_2
SBK1,SG05_1
SBK1,SG05_2
SBK1,SG06_1
SBK1,SG06_2
SBK1,SG07_1
SBK1,SG07_2
SBK1,SG08_1
SBK1,SG08_2
SBK2,SB01_1
SBK2,SB01_2
SBK2,SB02_1
SBK2,SB02_2
SBK2,SB03_1
SBK2,SB03_2
SBK2,SB04_1
SBK2,SB04_2
SBK2,SB05_1
SBK2,SB05_2
SBK2,SB06_1
SBK2,SB06_2
SBK2,SB07_1
SBK2,SB07_2
SBK2,SB08_1
SBK2,SB08_2
SBK2,SB09_1
SBK2,SB09_2
SBK2,SB10_1
SBK2,SB10_2
SBK2,SB12_1
SBK2,SB12_2
SBK2,SB14_1
SBK2,SB14_2
SBK2,SB15_1
SBK2,SB15_2
SBK2,SB16_1
SBK2,SB16_2
SBK2,SB17_1
SBK2,SB17_2
SBK2,SC01_1
SBK2,SC01_2
SBK2,SC02_1
SBK2,SC02_2
SBK2,SC03_1
SBK2,SC03_2
SBK2,SC04_1
SBK2,SC04_2
SBK2,SC05_1
SBK2,SC05_2
SBK2,SC06_1
SBK2,SC06_2
SBK2,SC07_1
SBK2,SC07_2
SBK2,SC08_1
SBK2,SC08_2
SBK2,SC09_1
SBK2,SC09_2
SBK2,SC10_1
SBK2,SC10_2
SBK2,SC11_1
SBK2,SC11_2
SBK2,SC12_1
SBK2,SC12_2
SBK2,SC13_1
SBK2,SC13_2
SBK2,SC14_1
SBK2,SC14_2
SBK2,SC15_1
SBK2,SC15_2
SBK2,SF01_1
SBK2,SF01_2
SBK2,SF02_1
SBK2,SF02_2
SBK2,SF03_1
SBK2,SF03_2
SBK2,SF04_1
SBK2,SF04_2
SBK2,SF05_1
SBK2,SF05_2
SBK2,SF06_1
SBK2,SF06_2
SBK2,SF07_1
SBK2,SF07_2
