,sample,type,habitat,location
,NCL06B_2023-05-14,Cam,C,west
,NCL06B_2023-05-26,Cam,C,west
,NCL06B_2023-05-28,Cam,C,west
,NCL06B_2023-05-29,Cam,C,west
,NCL06B_2023-05-30,Cam,C,west
,NCL06B_2023-05-31,Cam,C,west
,NCL06B_2023-06-01,Cam,C,west
,NCL06B_2023-06-03,Cam,C,west
,NCL06B_2023-06-07,Cam,C,west
,NCL06B_2023-06-14,Cam,C,west
,NCL06B_2023-06-16,Cam,C,west
,NCL06B_2023-06-18,Cam,C,west
,NCL06B_2023-06-21,Cam,C,west
,NCL06B_2023-06-26,Cam,C,west
,NCL06B_2023-06-27,Cam,C,west
,NCL06B_2023-06-28,Cam,C,west
,NCL06B_2023-06-30,Cam,C,west
,NCL07_2023-05-01,Aud,B,west
,NCL07_2023-05-02,Aud,B,west
,NCL07_2023-05-03,Aud,B,west
,NCL07_2023-05-04,Aud,B,west
,NCL07_2023-05-05,Aud,B,west
,NCL07_2023-05-06,Aud,B,west
,NCL07_2023-05-07,Aud,B,west
,NCL07_2023-05-08,Aud,B,west
,NCL07_2023-05-09,Aud,B,west
,NCL07_2023-05-10,Aud,B,west
,NCL07_2023-05-11,Aud,B,west
,NCL07_2023-05-12,Aud,B,west
,NCL07_2023-05-13,Aud,B,west
,NCL07_2023-05-14,Aud,B,west
,NCL07_2023-05-15,Aud,B,west
,NCL07_2023-05-16,Aud,B,west
,NCL07_2023-05-17,Aud,B,west
,NCL07_2023-05-18,Aud,B,west
,NCL07_2023-05-19,Aud,B,west
,NCL07_2023-05-20,Aud,B,west
,NCL07_2023-05-21,Aud,B,west
,NCL07_2023-05-22,Aud,B,west
,NCL07_2023-05-23,Aud,B,west
,NCL07_2023-05-24,Aud,B,west
,NCL07_2023-05-25,Aud,B,west
,NCL07_2023-05-26,Aud,B,west
,NCL07_2023-05-27,Aud,B,west
,NCL07_2023-05-28,Aud,B,west
,NCL07_2023-05-29,Aud,B,west
,NCL07_2023-05-30,Aud,B,west
,NCL07_2023-05-31,Aud,B,west
,NCL07_2023-06-01,Aud,B,west
,NCL07_2023-06-02,Aud,B,west
,NCL07_2023-06-03,Aud,B,west
,NCL07_2023-06-04,Aud,B,west
,NCL07_2023-06-06,Aud,B,west
,NCL07_2023-06-07,Aud,B,west
,NCL07_2023-06-08,Aud,B,west
,NCL07_2023-06-09,Aud,B,west
,NCL07_2023-06-10,Aud,B,west
,NCL07_2023-06-11,Aud,B,west
,NCL07_2023-06-12,Aud,B,west
,NCL07_2023-06-13,Aud,B,west
,NCL07_2023-06-15,Aud,B,west
,NCL07A_2023-05-04,Cam,B,west
,NCL07A_2023-05-08,Cam,B,west
,NCL07A_2023-05-10,Cam,B,west
,NCL07A_2023-05-15,Cam,B,west
,NCL07A_2023-05-16,Cam,B,west
,NCL07A_2023-05-21,Cam,B,west
,NCL07A_2023-05-22,Cam,B,west
,NCL07A_2023-05-23,Cam,B,west
,NCL07A_2023-05-24,Cam,B,west
,NCL07A_2023-05-30,Cam,B,west
,NCL07A_2023-06-01,Cam,B,west
,NCL07A_2023-06-02,Cam,B,west
,NCL07A_2023-06-03,Cam,B,west
,NCL07A_2023-06-04,Cam,B,west
,NCL07A_2023-06-05,Cam,B,west
,NCL07A_2023-06-06,Cam,B,west
,NCL07A_2023-06-07,Cam,B,west
,NCL07A_2023-06-08,Cam,B,west
,NCL07A_2023-06-10,Cam,B,west
,NCL07A_2023-06-11,Cam,B,west
,NCL07A_2023-06-12,Cam,B,west
,NCL07A_2023-06-19,Cam,B,west
,NCL07A_2023-06-23,Cam,B,west
,NCL07A_2023-06-25,Cam,B,west
,NCL07A_2023-06-26,Cam,B,west
,NCL07A_2023-06-30,Cam,B,west
,NCL07B_2023-05-04,Cam,B,west
,NCL07B_2023-05-05,Cam,B,west
,NCL07B_2023-05-06,Cam,B,west
,NCL07B_2023-05-07,Cam,B,west
,NCL07B_2023-05-09,Cam,B,west
,NCL07B_2023-05-10,Cam,B,west
,NCL07B_2023-05-12,Cam,B,west
,NCL07B_2023-05-13,Cam,B,west
,NCL07B_2023-05-16,Cam,B,west
,NCL07B_2023-05-18,Cam,B,west
,NCL07B_2023-05-20,Cam,B,west
,NCL07B_2023-05-22,Cam,B,west
,NCL07B_2023-05-24,Cam,B,west
,NCL07B_2023-05-26,Cam,B,west
,NCL07B_2023-05-28,Cam,B,west
,NCL07B_2023-05-29,Cam,B,west
,NCL07B_2023-05-31,Cam,B,west
,NCL07B_2023-06-02,Cam,B,west
,NCL07B_2023-06-03,Cam,B,west
